City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Kahului,40,US,1569358502,89.6,3.36,20.89,-156.47,83
Codrington,40,AU,1569358503,61,2.57,-28.95,153.24,93
Ushuaia,20,AR,1569358503,51.8,32.21,-54.81,-68.31,70
Dikson,100,RU,1569358503,36.13,21.54,73.51,80.55,96
Touros,0,BR,1569358504,80.6,13.87,-5.2,-35.46,61
Thompson,75,CA,1569358504,55.4,17.22,55.74,-97.86,62
Rikitea,57,PF,1569358504,70.69,6.33,-23.12,-134.97,67
Nikolayevka,81,RU,1569358504,55.93,14.09,46.73,38.57,64
Evanston,1,US,1569358505,81,14.99,42.04,-87.69,50
Menongue,0,AO,1569358505,65.47,5.17,-14.66,17.68,16
Atuona,0,PF,1569358505,79.69,19.15,-9.8,-139.03,77
Butaritari,35,KI,1569358506,85.27,10.11,3.07,172.79,68
Hithadhoo,100,MV,1569358506,79.87,21.21,-0.6,73.08,81
Port Elizabeth,1,US,1569358506,80.6,5.82,39.31,-74.98,47
Villamontes,57,BO,1569358507,91.4,5.82,-21.26,-63.47,31
New Norfolk,20,AU,1569358507,46.99,6.93,-42.78,147.06,81
Gizo,0,IL,1569358507,77,3.36,31.8,34.94,65
Coahuayana,31,MX,1569358508,86.53,1.74,18.62,-100.35,66
Chumikan,0,RU,1569358508,30.37,10.42,54.72,135.31,72
Tiksi,100,RU,1569358508,32.89,8.84,71.64,128.87,85
Sola,74,TZ,1569358509,75.19,3.2,-3.17,33.8,58
Dakar,15,SN,1569358475,84.2,3.36,14.69,-17.45,88
Castro,0,CL,1569358509,60.8,8.05,-42.48,-73.76,77
Mataura,100,NZ,1569358509,43,11.99,-46.19,168.86,80
Hobart,20,AU,1569358510,46.99,6.93,-42.88,147.33,81
Albany,90,US,1569358424,69.01,5.82,42.65,-73.75,82
Bluff,83,AU,1569358510,65.83,8.79,-23.58,149.07,85
Sao Filipe,100,CV,1569358510,81.31,2.68,14.9,-24.5,81
Punta Arenas,40,CL,1569358511,53.6,25.28,-53.16,-70.91,50
Kochubey,88,RU,1569358511,60.79,7.11,44.39,46.54,85
Caravelas,22,BR,1569358511,71.05,12.5,-17.73,-39.27,72
Gunnedah,40,AU,1569358512,44.01,4.7,-30.98,150.25,64
Barrow,0,AR,1569358512,65.65,8.01,-38.31,-60.23,61
